Entity,Date,Count
Africa,2020-01-11,0
Africa,2020-02-11,0
Africa,2020-03-11,1
Africa,2020-04-11,691
Africa,2020-05-11,2290
Africa,2020-06-11,5671
Africa,2020-07-11,12768
Africa,2020-08-11,23590
Africa,2020-09-11,32118
Africa,2020-10-11,37891
Asia,2020-01-11,1
Asia,2020-02-11,1018
Asia,2020-03-11,3534
Asia,2020-04-11,10190
Asia,2020-05-11,22175
Asia,2020-06-11,37181
Asia,2020-07-11,67795
Asia,2020-08-11,111283
Asia,2020-09-11,159375
Asia,2020-10-11,212015
Europe,2020-01-11,0
Europe,2020-02-11,0
Europe,2020-03-11,718
Europe,2020-04-11,72560
Europe,2020-05-11,152379
Europe,2020-06-11,178603
Europe,2020-07-11,191755
Europe,2020-08-11,201141
Europe,2020-09-11,211870
Europe,2020-10-11,230711
North America,2020-01-11,0
North America,2020-02-11,0
North America,2020-03-11,30
North America,2020-04-11,19917
North America,2020-05-11,88935
North America,2020-06-11,138304
North America,2020-07-11,181489
North America,2020-08-11,233751
North America,2020-09-11,282188
North America,2020-10-11,321793
Oceania,2020-01-11,0
Oceania,2020-02-11,0
Oceania,2020-03-11,3
Oceania,2020-04-11,64
Oceania,2020-05-11,125
Oceania,2020-06-11,131
Oceania,2020-07-11,135
Oceania,2020-08-11,346
Oceania,2020-09-11,843
Oceania,2020-10-11,1003
South America,2020-01-11,0
South America,2020-02-11,0
South America,2020-03-11,1
South America,2020-04-11,1798
South America,2020-05-11,16382
South America,2020-06-11,54529
South America,2020-07-11,102204
South America,2020-08-11,160993
South America,2020-09-11,223709
South America,2020-10-11,270429
